gene,gene_name,zscore,effect_size,pvalue,var_g,pred_perf_r2,pred_perf_pval,pred_perf_qval,n_snps_used,n_snps_in_cov,n_snps_in_model
ENSG00000124562.5,SNRPC,-13.213362759203235,-0.05630809026792815,7.3467511479769535e-40,0.1012161953200466,0.113035693437427,0.0037091903494418,NA,71,82,82
ENSG00000196993.4,NPIPB9,-12.593140472096115,-0.3188251743879679,2.3032404562871478e-36,0.0029807825964003553,0.0670134225752482,0.0303219112383117,NA,8,19,19
ENSG00000065060.12,UHRF1BP1,11.820158232589215,0.044780887762963496,3.071055454095468e-32,0.14401420668763798,0.364563607150389,5.34715074891556e-09,NA,11,11,11
ENSG00000251417.1,RP11-1348G14.4,-11.221632562339227,-0.08037242595342015,3.1932041362386326e-29,0.03763161257482408,0.179392344295505,0.000105738014752277,NA,30,47,47
ENSG00000233232.2,NPIPB7,-10.948533336103026,-0.04281015559410904,6.753220614173971e-28,0.1266695214476111,0.163822528769476,0.000310155715442144,NA,30,35,35
ENSG00000178952.4,TUFM,10.87654144206372,0.042409605198020166,1.4911377826770007e-27,0.1381800310617659,0.107873260127822,0.00287306280107485,NA,38,50,50
ENSG00000127957.12,PMS2P3,-10.526372661683379,-0.0823100328421762,6.530260031313078e-26,0.02865122827617764,0.135366550093419,0.000885246791865288,NA,4,8,8
ENSG00000149084.7,HSD17B12,-10.390549712917434,-0.02955512818412203,2.737706381549273e-25,0.21139751036883322,0.443565130538042,1.31670754403153e-11,NA,46,49,49
ENSG00000164989.11,CCDC171,-9.983686752567406,-0.10414573820460472,1.796643244153029e-23,0.019312482666293637,0.106005899524497,0.00388164470459167,NA,6,7,7
ENSG00000205583.9,STAG3L1,-9.137904992809352,-0.05179793920400285,6.36738380172394e-20,0.055376412760985726,0.210893965313061,2.82099698927937e-05,NA,10,15,15
ENSG00000255098.1,RP11-481A20.11,8.982351015401653,0.03815878021358854,2.6504172232075913e-19,0.10319699954681076,0.129567266059196,0.00206178239947764,NA,12,14,14
ENSG00000233609.3,RP11-62H7.2,8.795537133600138,0.03403217470114866,1.4236529950573546e-18,0.1131053038544122,0.153509283664951,0.000558119057866816,NA,19,21,21
ENSG00000103550.9,KNOP1,-8.466076356008442,-0.030084709058898686,2.537978198104831e-17,0.15858266944839539,0.261719393817526,9.57020867024784e-08,NA,44,46,46
ENSG00000251402.3,FAM90A25P,8.382237798839174,0.0360018865626122,5.19307832851118e-17,0.10416488718048494,0.132201025185385,0.0016219882830005,NA,26,33,33
ENSG00000243477.1,NAT6,7.855945993436133,0.052029007184986854,3.967660175472728e-15,0.043034322715248916,0.099483811520279,0.00693342661004728,NA,25,35,35
ENSG00000197165.6,SULT1A2,7.730443162437229,0.031504718677181374,1.0717283305511952e-14,0.11315954734601878,0.306892676778087,6.55005008080178e-08,NA,33,49,49
ENSG00000189011.9,AC138783.12,7.680263631765992,0.031608446167545684,1.5876152540080454e-14,0.12231378259125927,0.236747939096611,4.08062817057244e-06,NA,16,18,18
ENSG00000261556.4,RP11-296I10.6,-7.603881140740005,-0.035908873121285344,2.873792123206618e-14,0.09039749125972396,0.316072242022317,1.20169190641969e-07,NA,30,35,35
ENSG00000157322.12,CLEC18A,-7.420539200558907,-0.038232485897597174,1.166444770572227e-13,0.07970896065543775,0.335173264236999,4.08393018747643e-08,NA,13,20,20
ENSG00000272462.2,U91328.19,7.242485561203475,0.029264657121138574,4.4053535231092953e-13,0.1198673255636586,0.196574978644497,2.88068517626218e-05,NA,21,22,22
ENSG00000198156.6,NPIPB6,7.131603048514368,0.03361875972487012,9.920663763351916e-13,0.10506998665699896,0.0810850598450604,0.0130936885980323,NA,29,39,39
ENSG00000108272.9,DHRS11,7.103685916057879,0.03383586868034346,1.2147274854757464e-12,0.08314402880612748,0.198149894958557,4.13452513417543e-05,NA,15,21,21
ENSG00000173295.3,FAM86B3P,-6.80766893246506,-0.04934090036504696,9.919280333496884e-12,0.03730809936999206,0.0786188823485271,0.0139027283962364,NA,9,13,13
ENSG00000160695.10,VPS11,-6.762272360173816,-0.04189582785111751,1.3584401993417306e-11,0.046141619578396076,0.184641358742251,7.3358883153186e-05,NA,7,10,10
ENSG00000168237.13,GLYCTK,-6.730628427174136,-0.035265330042325224,1.689318662437663e-11,0.0730929028229291,0.113587941306522,0.00328690832592345,NA,20,23,23
ENSG00000219435.3,TEX40,6.607859872122708,0.037426614831622566,3.8991548569625335e-11,0.05398204730346734,0.195179314152738,3.99938194952358e-05,NA,9,12,12
ENSG00000261701.2,HPR,6.438618875576349,0.015084902038578464,1.2056551493503988e-10,0.3531805897559808,0.533102481836086,2.81026171875162e-14,NA,15,17,17
ENSG00000120451.6,SNX19,-6.42518389552833,-0.014961599664789958,1.3171019335629738e-10,0.30813992831317644,0.453679687685379,6.68111811166599e-12,NA,26,27,27
ENSG00000196502.7,SULT1A1,-6.399904168602914,-0.07031345881942308,1.554745022642628e-10,0.014676948159098601,0.156944014797874,0.000614896178720715,NA,9,20,20
ENSG00000053900.6,ANAPC4,6.373899208577495,0.03743473936595157,1.8428172499372267e-10,0.05001882055610961,0.17619539407134,0.000174030324796932,NA,16,16,16
ENSG00000160828.13,STAG3L2,-6.326943843550144,-0.03312583015024167,2.50064307171989e-10,0.08877052943591209,0.406210941703878,4.04993028774592e-10,NA,9,12,12
ENSG00000197728.5,RPS26,-6.271954262409314,-0.021142456039637006,3.565443286747823e-10,0.15758623300329272,0.639303681076563,1.30677230767291e-19,NA,30,39,39
ENSG00000270964.1,RP11-502I4.3,-6.22953228218184,-0.025761677380380658,4.678297524450624e-10,0.118699477198333,0.154155504013234,0.000217322140905042,NA,40,45,45
ENSG00000260947.1,RP11-384P7.7,-6.146579606336478,-0.022622798352253958,7.917159665705781e-10,0.11677492400018039,0.201123202104868,4.40016655799466e-05,NA,36,40,40
ENSG00000255284.1,AP006621.5,6.138923094220195,0.030757127898756252,8.308277455445562e-10,0.07995554087221259,0.341266592991493,1.48863000185531e-08,NA,12,21,21
ENSG00000183763.4,TRAIP,6.095786766047826,0.033059283160807494,1.0890049821160049e-09,0.05168518522023083,0.116258181580764,0.00285838347029017,NA,7,10,10
ENSG00000168060.10,NAALADL1,6.076661753733679,0.05189490824989902,1.2271021921475007e-09,0.026522212626711176,0.18956515569752,2.59487773730227e-05,NA,11,19,19
ENSG00000149182.10,ARFGAP2,5.928838029273053,0.018180150970486936,3.0508583311794154e-09,0.23635803881493833,0.0875851745912542,0.0127996034283038,NA,39,47,47
ENSG00000122025.10,FLT3,5.88878212384819,0.04649441494445912,3.890519454992292e-09,0.03136940428406946,0.0763117745745429,0.0109402272392828,NA,8,10,10
ENSG00000055955.11,ITIH4,5.887939267860316,0.01850507776499086,3.910407533262729e-09,0.22393878390187116,0.237958021364405,8.97269146280856e-06,NA,73,82,82
ENSG00000177236.3,AP006621.1,5.859621031427251,0.01318764074857964,4.639246602791435e-09,0.34220327931940897,0.618951398547853,7.64122670620087e-19,NA,19,33,33
ENSG00000154319.10,FAM167A,-5.845685288279305,-0.01659996887151914,5.044870364633593e-09,0.20194317445051146,0.0564554174833372,0.0332563601172928,NA,42,50,50
ENSG00000223496.1,EXOSC6,-5.827386531632801,-0.019014267326433763,5.630210528358785e-09,0.1956089305783454,0.255995962801999,3.94627618894287e-06,NA,17,24,24
ENSG00000178750.2,STX19,5.807271304072606,0.02939714652796668,6.349919800059901e-09,0.05725267250173034,0.0850919384744987,0.0102502905011773,NA,30,31,31
ENSG00000004534.10,RBM6,-5.802916838587224,-0.025278278021912196,6.517111924471728e-09,0.0927816072231525,0.152264652195403,0.000697083997849232,NA,24,28,28
ENSG00000119509.8,INVS,5.798162424797745,0.06499538417354313,6.7045500189357085e-09,0.016797854173962318,0.0582517697464739,0.0322685286056568,NA,2,2,2
ENSG00000132749.6,MTL5,-5.776365124826799,-0.016345763359753036,7.633163635254359e-09,0.21038218367857445,0.152516044588746,0.000519307925639326,NA,47,69,69
ENSG00000179292.4,TMEM151A,-5.723875927163986,-0.019479790446592444,1.0412080306641604e-08,0.16157817009914013,0.169985835294294,0.000201764616505954,NA,23,27,27
ENSG00000269990.1,CTD-3074O7.12,5.697403789268428,0.036314388827542766,1.2164558691062525e-08,0.057084248727943654,0.057843522994948,0.0311721068904765,NA,11,17,17
